name,cost,unitId
Purple Carrot,2.79,2
Parrotfish,2.33,2
Dates,2.37,1
Potato Flour,1.1,3
Elderberry,1.61,4
Hummus,3.64,4
Kecap Manis,1.23,2
Dill,1.42,1
Marjoram,3.42,4
Radish,2.24,1
Pistachio Nut,2.93,1
Hiramasa Kingfish,2.11,2
Vermicelli Noodles,3.77,4
Saffron,2.13,1
Green Pepper,2.39,4
Tapioca Flour,2.48,3
Lobster,1.45,1
Sesame Oil,0.91,4
Asparagus,1.73,3
Vegetable Stock,0.8,3
Coriander Seed,2.15,4
Jewfish,0.92,2
Fresh Chillies,1.77,4
Adzuki Beans,1.71,2
Curry Leaves,0.09,3
Bean Shoots,3.49,1
Feta,3.17,2
Cauliflower,0.14,4
Nectarines,3.99,1
Celery Seed,2.84,1
Soymilk,0.47,2
Bacon,0.27,1
Chicken Stock,0.16,2
Honeydew Melon,2.57,1
Avocado Spread,2.89,1
Camellia Tea Oil,1.45,4
Lemongrass,2.58,1
Cream Cheese,1.56,4
File Powder,0.1,2
Red Lentils,2.16,1
Cinnamon,2.54,4
Fish Sauce,2.78,2
Muesli,0.79,2
Pear,1.91,3
Kokam,2.15,4
Aniseed,2.26,3
Grape Seed Oil,0.92,4
Garam Masala,3.24,1
Edam,3.39,4
Artichoke,0.23,2
Rice Flour,2.78,2
Barramundi,2.54,2
Flat Mushrooms,1.95,2
Mustard,2.75,3
Crabs,2.88,4
Almonds,1.13,4
Brown Mushrooms,1.63,3
Cumin,0.36,1
Chives,1.42,4
Mustard Seed,2.77,1
Oat Flour,1.4,1
Water,0.67,3
Calamari,3.15,3
Endive,1.54,4
Jarrahdale Pumpkin,1.24,3
Pineapple,0.57,2
Monkfish,3.6,3
Jasmine Rice,2.69,1
Celery,1.22,4
Horseradish,2.86,3
Leeks,1.06,1
Enoki Mushrooms,1.42,3
Edamame,2.11,3
William Pear,3.91,4
Porcini Mushrooms,0.54,2
Liver,3.34,2
Dragonfruit,2.76,1
Chicken,2.29,4
Turmeric,0.66,1
Avocado Oil,0.43,2
Sultanas,3.55,2
Rose Water,3.67,3
Mandarins,1.85,4
Spelt Bread,3.98,3
Unbleached Flour,1.95,4
Wheat,3.13,1
Bay Leaves,3.64,2
Sun-Dried Tomatoes,2.58,2
Brown Rice Vinegar,1.98,3
Figs,3.12,1
Ajowan Seed,0.06,4
Camembert,1.91,2
Yellow Papaw,1.12,2
White rice,1.44,2
Yeast,0.5,1
Flaxseed,2.49,3
Greenwheat Freekeh,0.7,2
Baking Powder,1.44,1
Blood Oranges,3.64,3
Pumpkin,1.77,4
Passionfruit,3.97,3
Extra Virgin Olive Oil,2.18,1
Banana,1.07,4
Kombu,0.18,4
Kiwi Berries,0.86,4
Cantaloupe,2.44,4
Butter Beans,1.3,4
Jelly,1.65,4
Coconut,1.22,4
Incaberries,0.8,1
Snowpeas,3.79,3
Buckwheat Flour,3.05,2
Corn Syrup,3.75,3
Tabasco,1.19,1
Swiss Chard,3.83,1
Avocado,3.82,3
Margarine,3.7,2
Asian Noodles,1.2,2
Swordfish,0.86,1
Bocconcini,2.12,2
Beef Stock,1.3,3
Caraway Seed,1.68,3
Semolina,2.34,4
Curry Powder,0.11,1
Cabbage,3.68,1
Zucchini,2.07,1
Duck,0.83,1
Vinegar,3.31,3
Wattleseed,2.04,3
Macadamia Oil,2.94,4
Anchovies,3.4,2
Tamarillo,0.53,2
Hot Smoked Salmon,1.57,1
Dandelion,3.27,3
Miso,3.44,3
Jerusalem Artichoke,3.94,4
Cream,0.37,2
Chinese Five Spice,0.74,1
Octopus,0.03,4
Agar,2.71,1
White Wine,0.9,1
Nutmeg,3.4,1
Poppy Seed,2.64,3
Apricots,0.52,4
Fennel,3.47,3
Sage,2.72,2
Peppercorns,0.24,1
Cumquat,1.69,3
Butter,2.82,4
Spinach,2.63,1
Nasturtium,0.13,2
Oatmeal,2.06,2
Green Beans,3.72,1
Flathead,2.75,4
Pecan Nut,3.78,2
Papaw,0.74,3
Raisin,0.26,4
Starfruit,0.56,3
Bush Tomato,2.91,3
Soba,3.83,3
Snowpea sprouts,0.62,2
Koshihikari Rice,0.09,2
Peas,1.42,3
Buttermilk,2.36,1
Lotus Root,3.59,3
Agave Syrup,1.32,2
Harissa,1.97,2
Sweet Chilli Sauce,1.62,1
Asafoetida,2.47,1
Fenugreek,2.43,4
Broccolini,1.58,4
Silverbeet,0.72,4
Iceberg Lettuce,0.68,4
Pomegranate,3.57,2
Beef,3.69,3
Lavender Flowers,3.56,2
Nuts,1.22,3
Nori,0.83,2
Cornichons,1.27,4
Olives,1.85,2
Corn Tortilla,0.74,1
Sake,3.54,4
Spring Onions,3.98,1
Pandanus Leaves,3.36,2
Wholemeal,2.33,3
French Eschallots,3.02,2
Potatoes,0.19,2
White Wine Vinegar,2.61,3
Szechuan Pepperberry,1.75,1
Tuna,2.51,4
Tofu,3.73,2
Lemon,3.88,1
Custard Apples,2.03,2
Coconut Oil,1.78,4
Green Tea,0.98,3
Grapefruit,3.01,3
Quark Quinc,0.36,1
Beetroot,2.87,1
Achacha,2.28,3
Sea Salt,2.45,4
Candle Nut,2.63,2
Stevia,2.74,1
Mozzarella,2.77,4
Freekeh,0.27,4
Prunes,0.01,4
Morwong,1,1
Haricot Beans,0.84,2
Ricemilk,3.18,4
Redfish,2.12,2
Wheatgrass Juice,0.94,4
Oysters,2.96,1
Warehou,1.5,2
Sugar,3.31,4
Peanuts,3.26,1
Beans,2.73,3
Bread,1.27,1
Soy Sauce,0.49,1
Mulberries,1.75,1
Chinese Cabbage,0.71,3
Parsnip,0.94,3
White Flour,0.09,3
Goji Berry,0.18,3
Bonza,2.67,3
Bean Sprouts,1.29,3
Kangaroo,0,2
Capsicum,1.5,4
Grapes,1.29,2
Sour Dough Bread,2,1
Coriander Leaves,0.84,3
Mangosteens,0.53,2
Butternut Pumpkin,0.1,3
Sausages,1.98,3
Carob Carrot,2.9,4
Milk,3.25,3
